Time,Section,Velocity
1111,337,0.36
1111,338,-0.324
1111,339,0.288
1111,362,0.444
1111,363,11.136
1111,364,10.116
1111,365,-0.372
1111,366,6.456
1111,367,5.844
1111,369,17.066
1111,370,12.502
1111,371,5.306
1111,372,6.818
1111,373,6.818
1111,390,-0.378
1111,391,-0.392
1111,392,0.308
1111,399,3.094
1112,337,0.36
1112,338,-0.324
1112,339,0.288
1112,362,0.432
1112,363,10.284
1112,364,10.296
1112,365,7.548
1112,366,6.468
1112,367,5.844
1112,369,15.442
1112,370,12.824
1112,371,5.334
1112,372,6.818
1112,373,6.818
1112,390,-0.322
1112,391,-0.294
1112,392,0.308
1112,399,3.094
1113,337,0.36
1113,338,-0.324
1113,339,0.288
1113,362,0.42
1113,363,10.068
1113,364,10.404
1113,365,7.044
1113,366,6.468
1113,367,5.844
1113,369,15.008
1113,370,12.824
1113,371,5.348
1113,372,6.818
1113,373,6.818
1113,390,-0.308
1113,391,-0.28
1113,392,0.308
1113,399,3.094
1114,337,0.36
1114,338,-0.324
1114,339,0.288
1114,362,0.42
1114,363,9.888
1114,364,10.488
1114,365,6.576
1114,366,6.468
1114,367,5.844
1114,369,14.616
1114,370,12.754
1114,371,5.348
1114,372,6.818
1114,373,6.818
1114,390,-0.294
1114,391,-0.28
1114,392,0.308
1114,399,3.094
1115,337,0.36
1115,338,-0.324
1115,339,0.288
1115,362,0.42
1115,363,9.756
1115,364,10.56
1115,365,-6.216
1115,366,6.468
1115,367,5.844
1115,369,14.252
1115,370,12.67
1115,371,5.348
1115,372,6.818
1115,373,6.818
1115,390,-0.294
1115,391,-0.266
1115,392,0.308
1115,399,3.094
1116,337,0.372
1116,338,-0.312
1116,339,0.288
1116,362,0.408
1116,363,9.636
1116,364,10.62
1116,365,-5.916
1116,366,6.468
1116,367,5.844
1116,369,13.93
1116,370,12.572
1116,371,5.348
1116,372,6.818
1116,373,6.818
1116,390,-0.28
1116,391,-0.266
1116,392,0.308
1116,399,3.094
1121,337,0.312
1121,338,-0.3
1121,339,0.288
1121,362,11.1
1121,363,9.912
1121,364,9.864
1121,365,0.36
1121,366,6.456
1121,367,5.844
1121,369,14.532
1121,370,11.802
1121,371,5.32
1121,372,6.818
1121,373,6.818
1121,390,-0.378
1121,391,-0.392
1121,392,0.308
1121,399,3.094
1122,337,0.312
1122,338,-0.3
1122,339,0.288
1122,362,10.536
1122,363,9.54
1122,364,10.212
1122,365,7.392
1122,366,6.468
1122,367,5.844
1122,369,13.244
1122,370,12.166
1122,371,5.334
1122,372,6.818
1122,373,6.818
1122,390,-0.322
1122,391,-0.308
1122,392,0.308
1122,399,3.094
1123,337,0.312
1123,338,-0.3
1123,339,0.288
1123,362,10.392
1123,363,9.42
1123,364,10.308
1123,365,6.852
1123,366,6.468
1123,367,5.844
1123,369,12.88
1123,370,12.18
1123,371,5.334
1123,372,6.818
1123,373,6.818
1123,390,-0.308
1123,391,-0.294
1123,392,0.308
1123,399,3.094
1124,337,0.312
1124,338,-0.3
